Subject,Start Date,Start Time,End Time,End Date,Description,Location
Machine Vision,9/2/2019,12:00 PM,1:20 PM,9/2/2019,202,Science and Engineering Resource Center
Machine Vision,9/5/2019,12:00 PM,1:20 PM,9/5/2019,202,Science and Engineering Resource Center
Machine Vision,9/9/2019,12:00 PM,1:20 PM,9/9/2019,202,Science and Engineering Resource Center
Machine Vision,9/12/2019,12:00 PM,1:20 PM,9/12/2019,202,Science and Engineering Resource Center
Machine Vision,9/16/2019,12:00 PM,1:20 PM,9/16/2019,202,Science and Engineering Resource Center
Machine Vision,9/19/2019,12:00 PM,1:20 PM,9/19/2019,202,Science and Engineering Resource Center
Machine Vision,9/23/2019,12:00 PM,1:20 PM,9/23/2019,202,Science and Engineering Resource Center
Machine Vision,9/26/2019,12:00 PM,1:20 PM,9/26/2019,202,Science and Engineering Resource Center
Machine Vision,9/30/2019,12:00 PM,1:20 PM,9/30/2019,202,Science and Engineering Resource Center
Machine Vision,10/3/2019,12:00 PM,1:20 PM,10/3/2019,202,Science and Engineering Resource Center
Machine Vision,10/7/2019,12:00 PM,1:20 PM,10/7/2019,202,Science and Engineering Resource Center
Machine Vision,10/10/2019,12:00 PM,1:20 PM,10/10/2019,202,Science and Engineering Resource Center
Machine Vision,10/14/2019,12:00 PM,1:20 PM,10/14/2019,202,Science and Engineering Resource Center
Machine Vision,10/17/2019,12:00 PM,1:20 PM,10/17/2019,202,Science and Engineering Resource Center
Machine Vision,10/21/2019,12:00 PM,1:20 PM,10/21/2019,202,Science and Engineering Resource Center
Machine Vision,10/24/2019,12:00 PM,1:20 PM,10/24/2019,202,Science and Engineering Resource Center
Machine Vision,10/28/2019,12:00 PM,1:20 PM,10/28/2019,202,Science and Engineering Resource Center
Machine Vision,10/31/2019,12:00 PM,1:20 PM,10/31/2019,202,Science and Engineering Resource Center
Machine Vision,11/4/2019,12:00 PM,1:20 PM,11/4/2019,202,Science and Engineering Resource Center
Machine Vision,11/7/2019,12:00 PM,1:20 PM,11/7/2019,202,Science and Engineering Resource Center
Machine Vision,11/11/2019,12:00 PM,1:20 PM,11/11/2019,202,Science and Engineering Resource Center
Machine Vision,11/14/2019,12:00 PM,1:20 PM,11/14/2019,202,Science and Engineering Resource Center
Machine Vision,11/18/2019,12:00 PM,1:20 PM,11/18/2019,202,Science and Engineering Resource Center
Machine Vision,11/21/2019,12:00 PM,1:20 PM,11/21/2019,202,Science and Engineering Resource Center
Machine Vision,11/25/2019,12:00 PM,1:20 PM,11/25/2019,202,Science and Engineering Resource Center
Machine Vision,11/28/2019,12:00 PM,1:20 PM,11/28/2019,202,Science and Engineering Resource Center
Machine Vision,12/2/2019,12:00 PM,1:20 PM,12/2/2019,202,Science and Engineering Resource Center
Machine Vision,12/5/2019,12:00 PM,1:20 PM,12/5/2019,202,Science and Engineering Resource Center
Machine Vision,12/9/2019,12:00 PM,1:20 PM,12/9/2019,202,Science and Engineering Resource Center
Machine Vision,12/12/2019,12:00 PM,1:20 PM,12/12/2019,202,Science and Engineering Resource Center
Machine Vision,12/16/2019,12:00 PM,1:20 PM,12/16/2019,202,Science and Engineering Resource Center
Machine Vision,12/19/2019,12:00 PM,1:20 PM,12/19/2019,202,Science and Engineering Resource Center
Software Engineering,9/4/2019,12:00 PM,3:00 PM,9/4/2019,101,Computiong Research and Education Building
Software Engineering,9/11/2019,12:00 PM,3:00 PM,9/11/2019,101,Computiong Research and Education Building
Software Engineering,9/18/2019,12:00 PM,3:00 PM,9/18/2019,101,Computiong Research and Education Building
Software Engineering,9/25/2019,12:00 PM,3:00 PM,9/25/2019,101,Computiong Research and Education Building
Software Engineering,10/2/2019,12:00 PM,3:00 PM,10/2/2019,101,Computiong Research and Education Building
Software Engineering,10/9/2019,12:00 PM,3:00 PM,10/9/2019,101,Computiong Research and Education Building
Software Engineering,10/16/2019,12:00 PM,3:00 PM,10/16/2019,101,Computiong Research and Education Building
Software Engineering,10/23/2019,12:00 PM,3:00 PM,10/23/2019,101,Computiong Research and Education Building
Software Engineering,10/30/2019,12:00 PM,3:00 PM,10/30/2019,101,Computiong Research and Education Building
Software Engineering,11/6/2019,12:00 PM,3:00 PM,11/6/2019,101,Computiong Research and Education Building
Software Engineering,11/13/2019,12:00 PM,3:00 PM,11/13/2019,101,Computiong Research and Education Building
Software Engineering,11/20/2019,12:00 PM,3:00 PM,11/20/2019,101,Computiong Research and Education Building
Software Engineering,11/27/2019,12:00 PM,3:00 PM,11/27/2019,101,Computiong Research and Education Building
Software Engineering,12/4/2019,12:00 PM,3:00 PM,12/4/2019,101,Computiong Research and Education Building
Software Engineering,12/11/2019,12:00 PM,3:00 PM,12/11/2019,101,Computiong Research and Education Building
Software Engineering,12/18/2019,12:00 PM,3:00 PM,12/18/2019,101,Computiong Research and Education Building
Colloquium,9/4/2019,10:00 AM,11:30 AM,9/4/2019,101,Computiong Research and Education Building
Colloquium,9/11/2019,10:00 AM,11:30 AM,9/11/2019,101,Computiong Research and Education Building
Colloquium,9/18/2019,10:00 AM,11:30 AM,9/18/2019,101,Computiong Research and Education Building
Colloquium,9/25/2019,10:00 AM,11:30 AM,9/25/2019,101,Computiong Research and Education Building
Colloquium,10/2/2019,10:00 AM,11:30 AM,10/2/2019,101,Computiong Research and Education Building
Colloquium,10/9/2019,10:00 AM,11:30 AM,10/9/2019,101,Computiong Research and Education Building
Colloquium,10/16/2019,10:00 AM,11:30 AM,10/16/2019,101,Computiong Research and Education Building
Colloquium,10/23/2019,10:00 AM,11:30 AM,10/23/2019,101,Computiong Research and Education Building
Colloquium,10/30/2019,10:00 AM,11:30 AM,10/30/2019,101,Computiong Research and Education Building
Colloquium,11/6/2019,10:00 AM,11:30 AM,11/6/2019,101,Computiong Research and Education Building
Colloquium,11/13/2019,10:00 AM,11:30 AM,11/13/2019,101,Computiong Research and Education Building
Colloquium,11/20/2019,10:00 AM,11:30 AM,11/20/2019,101,Computiong Research and Education Building
Colloquium,11/27/2019,10:00 AM,11:30 AM,11/27/2019,101,Computiong Research and Education Building
Colloquium,12/4/2019,10:00 AM,11:30 AM,12/4/2019,101,Computiong Research and Education Building
Colloquium,12/11/2019,10:00 AM,11:30 AM,12/11/2019,101,Computiong Research and Education Building
Colloquium,12/18/2019,10:00 AM,11:30 AM,12/18/2019,101,Computiong Research and Education Building
